Title,Description,Link,Date,Location
Nova Schola Labacensis (SI) - kopija,"
Thu May 16 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Radio Slovenija, tretji program, program ARS",https://dogodki.kulturnik.si/?where=Radio%20Slovenija%2C%20tretji%20program%2C%20program%20ARS,"četrtek, 16. maj 2024",
Mednarodni trienale umetnost in okolje,"
Fri May 17 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Jul 28 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Maribor",https://dogodki.kulturnik.si/?where=Maribor,"petek, 17. maj 2024",
Symphonika On the Rock,"
Sat May 18 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 18. maj 2024",
TOSCA,"
Sun May 19 2024 17:00:00 GMT+0200 (Central European Summer Time)
 SNG Maribor: Dvorana Ondine Otta Klasinc... Maribor",https://dogodki.kulturnik.si/?where=SNG%20Maribor%3A%20Dvorana%20Ondine%20Otta%20Klasinc...-https://dogodki.kulturnik.si/?where=Maribor,"nedelja, 19. maj 2024",
Giacomo Puccini: Tosca,"
Tue May 21 2024 19:30:00 GMT+0200 (Central European Summer Time)
 SNG Maribor Maribor",https://dogodki.kulturnik.si/?where=SNG%20Maribor-https://dogodki.kulturnik.si/?where=Maribor,"torek, 21. maj 2024",
Pogovori s skladatelji - Cikel 1808: Igor Majcen,"
Wed May 22 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Kogojeva dvorana DSS, Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=Kogojeva%20dvorana%20DSS%2C%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 22. maj 2024",
Mednarodni festival Druga godba,"
Thu May 23 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon May 27 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"četrtek, 23. maj 2024",
Svetlobna gverila,"
Fri May 24 2024 00:00:00 GMT+0200 (Central European Summer Time)
Wed Jun 26 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 24. maj 2024",
Druga godba 2024,"
Sat May 25 2024 00:00:00 GMT+0200 (Central European Summer Time)
 CUK Kino Šiška Ljubljana",https://dogodki.kulturnik.si/?where=CUK%20Kino%20%C5%A0i%C5%A1ka-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 25. maj 2024",
Druga godba 2024,"
Sun May 26 2024 00:00:00 GMT+0200 (Central European Summer Time)
 AKC Metelkova mesto Ljubljana",https://dogodki.kulturnik.si/?where=AKC%20Metelkova%20mesto-https://dogodki.kulturnik.si/?where=Ljubljana,"nedelja, 26. maj 2024",
Cosi fan tutte TOR,"
Tue May 28 2024 19:30:00 GMT+0200 (Central European Summer Time)
 SNG Opera Balet Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=SNG%20Opera%20Balet%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 28. maj 2024",
Sting,"
Wed May 29 2024 20:00:00 GMT+0200 (Central European Summer Time)
 Dvorana Stožice Ljubljana",https://dogodki.kulturnik.si/?where=Dvorana%20Sto%C5%BEice-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 29. maj 2024",
NOFX,"
Thu May 30 2024 19:00:00 GMT+0200 (Central European Summer Time)
 Media Center, Ljubljana",https://dogodki.kulturnik.si/?where=Media%20Center%2C%20Ljubljana,"četrtek, 30. maj 2024",
SITI TEATER - Darilna vstopnica za otroške predstave 2023/24,"
Fri May 31 2024 00:00:00 GMT+0200 (Central European Summer Time)
 SiTiTeater, Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=SiTiTeater%2C%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 31. maj 2024",
Poletje v Velenju,"
Sat Jun 01 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Sep 01 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Velenje",https://dogodki.kulturnik.si/?where=Velenje,"sobota, 1. junij 2024",
Festival Borštnikovo srečanje,"
Mon Jun 03 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jun 17 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Maribor",https://dogodki.kulturnik.si/?where=Maribor,"ponedeljek, 3. junij 2024",
Abonma Amabile: trobilni kvintet Contrast,"
Tue Jun 04 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Pokrajinski muzej Koper Koper",https://dogodki.kulturnik.si/?where=Pokrajinski%20muzej%20Koper-https://dogodki.kulturnik.si/?where=Koper,"torek, 4. junij 2024",
Festival Kino Otok,"
Wed Jun 05 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jun 10 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Izola",https://dogodki.kulturnik.si/?where=Izola,"sreda, 5. junij 2024",
Slovenski oglaševalski festival (SOF),"
Thu Jun 06 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sat Jun 08 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,"četrtek, 6. junij 2024",
VIP 5: Za dušo,"
Fri Jun 07 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Slovenska filharmonija Ljubljana",https://dogodki.kulturnik.si/?where=Slovenska%20filharmonija-https://dogodki.kulturnik.si/?where=Ljubljana,"petek, 7. junij 2024",
Cosi fan tutte SOB,"
Sat Jun 08 2024 19:30:00 GMT+0200 (Central European Summer Time)
 SNG Opera Balet Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=SNG%20Opera%20Balet%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 8. junij 2024",
Sharon Eyal: Vezi duš,"
Sun Jun 09 2024 19:30:00 GMT+0200 (Central European Summer Time)
Sun Jun 09 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"nedelja, 9. junij 2024",
Abonma Liffe po Liffu: Rdeče nebo (Roter Himmel),"
Tue Jun 11 2024 19:30:00 GMT+0200 (Central European Summer Time)
Tue Jun 11 2024 22:00:00 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Kosovelova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Kosovelova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 11. junij 2024",
Pogovori s skladatelji - Cikel 1808: Godalni kvartet Accademia,"
Wed Jun 12 2024 19:30:00 GMT+0200 (Central European Summer Time)
 Kogojeva dvorana DSS, Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=Kogojeva%20dvorana%20DSS%2C%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"sreda, 12. junij 2024",
Trnuljčica,"
Thu Jun 13 2024 19:30:00 GMT+0200 (Central European Summer Time)
 SNG Opera Balet Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=SNG%20Opera%20Balet%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"četrtek, 13. junij 2024",
