Title,Details,InfoLinks,LinkToPage,Date
Festivalski predtakt: The Legacy of Bach (BE),"
Wed Aug 21 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Stara grofija Celje",https://dogodki.kulturnik.si/?where=Stara%20grofija-https://dogodki.kulturnik.si/?where=Celje,http://www.seviqc-brezice.si/festivalski-predtakt-the-legacy-of-bach.html,"sreda, 21. avgust 2024"
Festivalski predtakt: Capilla del Sol (AR),"
Thu Aug 22 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Narodni dom Celje Celje",https://dogodki.kulturnik.si/?where=Narodni%20dom%20Celje-https://dogodki.kulturnik.si/?where=Celje,http://www.seviqc-brezice.si/festivalski-predtakt-capilla-del-sol-ar.html,"četrtek, 22. avgust 2024"
Festivalski predtakt: Adriana Alcaide (ES) in Ana Marija Krajnc (SI),"
Fri Aug 23 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Celje, Glasbena �ola Celje",https://dogodki.kulturnik.si/?where=Celje%2C%20Glasbena%20%EF%BF%BDola%20Celje,http://www.seviqc-brezice.si/festivalski-predtakt-adriana-alcaide-in-ana-marija-krajnc.html,"petek, 23. avgust 2024"
Mednarodni literarni festival Vilenica,"
Mon Sep 02 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Sep 08 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,https://vilenica.si/,"ponedeljek, 2. september 2024"
"Šola zmajeslovja, paket treh vodenih ogledov","
Sun Sep 15 2024 10:30:00 GMT+0200 (Central European Summer Time)
 Ljubljanski grad Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljanski%20grad-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/sola-zmajeslovja-paket-treh-vodenih-ogledov/paketi-1176028.html,"nedelja, 15. september 2024"
Jesenski cikel Uporniki skozi čas,"
Tue Sep 17 2024 17:30:00 GMT+0200 (Central European Summer Time)
 Ljubljanski grad Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljanski%20grad-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/jesenski-cikel-uporniki-skozi-cas/paketi-1176228.html,"torek, 17. september 2024"
Linhartova srečanja,"
Thu Sep 19 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Sep 22 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,http://www.jskd.si/gledalisce-in-lutke/festivali_gledalisce/uvod_festivali_gledalisce.htm,"četrtek, 19. september 2024"
Festival migrantskega filma (FMF),"
Mon Sep 23 2024 00:00:00 GMT+0200 (Central European Summer Time)
Fri Sep 27 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,http://www.fmf-slovenija.si,"ponedeljek, 23. september 2024"
Mednarodni festival sodobne lutkovne umetnosti LUTKE,"
Wed Sep 25 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Sep 29 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,http://www.lgl.si/si/festivali-in-dogodki/festival-lutke,"sreda, 25. september 2024"
Mednarodni festival kreativnosti Zlati boben,"
Wed Oct 09 2024 00:00:00 GMT+0200 (Central European Summer Time)
Fri Oct 11 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,https://goldendrum.com/,"sreda, 9. oktober 2024"
